record_id,timestamp,device_id,data_type,data_value,numeric_value,location,closest_city,status,origin,destination
2,2025-04-29 12:08:30.336512,PKG85046,humidity,51.6,51.6,"33.3012, 13.5857",Cairo,In Transit,São Paulo,Moscow
5,2025-04-29 13:17:30.336512,PKG59811,humidity,84.9,84.9,"36.7251, 136.1661",Tokyo,In Transit,Tokyo,Seoul
8,2025-04-29 14:36:30.336512,PKG80313,humidity,83.4,83.4,"24.1418, 107.766",Bangkok,In Transit,Cape Town,Seoul
11,2025-04-29 15:23:30.336512,PKG90642,humidity,49.2,49.2,"3.6758, 36.9013",Cairo,In Transit,Tokyo,São Paulo
14,2025-04-29 16:06:30.336512,PKG86797,humidity,81.2,81.2,"52.3556, 18.2952",Berlin,In Transit,Moscow,Berlin
17,2025-04-29 22:21:30.336512,PKG40354,humidity,88.1,88.1,"3.1486, 101.0205",Singapore,Delivered,London,Singapore
20,2025-04-30 03:12:30.336512,PKG15600,humidity,82.8,82.8,"40.8456, -76.0098",New York,In Transit,New York,Toronto
23,2025-04-30 04:16:30.336512,PKG98223,humidity,90.9,90.9,"-20.3309, -50.6235",São Paulo,Delivered,Los Angeles,São Paulo
26,2025-04-30 04:39:30.336512,PKG68596,humidity,71.2,71.2,"47.7554, 10.6766",Berlin,In Transit,Moscow,Mexico City
29,2025-04-30 06:25:30.336512,PKG47157,humidity,91.6,91.6,"24.8098, -8.6001",Paris,In Transit,Berlin,São Paulo
32,2025-04-30 09:02:30.336512,PKG56828,humidity,66.5,66.5,"32.7614, 67.4043",Dubai,In Transit,Tokyo,Cairo
35,2025-04-30 09:11:30.336512,PKG83969,humidity,75.4,75.4,"-14.4913, 10.838",Cape Town,In Transit,São Paulo,Singapore
38,2025-04-30 10:38:30.336512,PKG52880,humidity,75.5,75.5,"-27.9624, 33.7697",Cape Town,In Transit,Singapore,Cape Town
41,2025-04-30 10:59:30.336512,PKG89273,humidity,76.7,76.7,"-23.7877, 17.4187",Cape Town,In Transit,Paris,Cape Town
44,2025-04-30 15:09:30.336512,PKG14324,humidity,60.8,60.8,"41.4671, -84.5964",Chicago,Delivered,Cairo,Chicago
47,2025-04-30 17:04:30.336512,PKG36641,humidity,61.4,61.4,"19.1864, 25.1461",Cairo,Delayed,New York,Singapore
50,2025-04-30 21:25:30.336512,PKG43719,humidity,86.6,86.6,"17.473, 107.9593",Bangkok,In Transit,Paris,Manila
53,2025-04-30 22:13:30.336512,PKG16801,humidity,54.4,54.4,"20.8077, -98.0358",Mexico City,Delivered,Chicago,Mexico City
56,2025-04-30 22:16:30.336512,PKG93441,humidity,83.5,83.5,"24.0181, 68.1987",Mumbai,In Transit,Cairo,Manila
59,2025-04-30 22:31:30.336512,PKG80316,humidity,41.7,41.7,"32.5732, 30.3712",Cairo,In Transit,Paris,Sydney
62,2025-04-30 23:22:30.336512,PKG24388,humidity,73.8,73.8,"45.6035, -41.4799",New York,In Transit,London,Los Angeles
65,2025-05-01 03:36:30.336512,PKG68243,humidity,62.5,62.5,"50.5945, 34.014",Moscow,In Transit,Berlin,Seoul
68,2025-05-01 04:15:30.336512,PKG52318,humidity,87.1,87.1,"7.8415, -10.4925",Paris,In Transit,Los Angeles,Sydney
71,2025-05-01 07:34:30.336512,PKG14158,humidity,72.3,72.3,"-8.7533, 10.3176",Cape Town,In Transit,São Paulo,Bangkok
74,2025-05-01 11:51:30.336512,PKG21130,humidity,79.9,79.9,"43.9253, -69.2618",New York,Delayed,Chicago,Paris
77,2025-05-01 13:40:30.336512,PKG27771,humidity,76.4,76.4,"31.3388, 10.2707",Paris,Processing,Cairo,Los Angeles
80,2025-05-01 14:22:30.336512,PKG15287,humidity,71.6,71.6,"43.553, 16.28",Berlin,In Transit,Mumbai,Paris
83,2025-05-01 14:37:30.336512,PKG59407,humidity,78.9,78.9,"-5.5992, 69.9657",Mumbai,Delayed,Tokyo,Cape Town
86,2025-05-01 15:37:30.336512,PKG82615,humidity,70.3,70.3,"45.1069, -57.3475",New York,Delayed,Paris,Toronto
89,2025-05-01 15:54:30.336512,PKG77969,humidity,72.5,72.5,"36.3495, -96.2642",Chicago,In Transit,Los Angeles,Paris
92,2025-05-01 16:05:30.336512,PKG29065,humidity,61.5,61.5,"20.6898, 28.827",Cairo,Processing,Cairo,Cape Town
95,2025-05-01 16:51:30.336512,PKG77214,humidity,82.0,82.0,"53.8675, 27.9716",Moscow,In Transit,London,Moscow
98,2025-05-01 18:40:30.336512,PKG51914,humidity,73.2,73.2,"7.3423, -85.8441",Mexico City,In Transit,Los Angeles,São Paulo
101,2025-05-01 20:58:30.336512,PKG48000,humidity,90.1,90.1,"20.2624, 80.968",Mumbai,In Transit,Dubai,Manila
104,2025-05-01 21:31:30.336512,PKG96925,humidity,73.6,73.6,"24.4461, 84.6479",Mumbai,In Transit,Manila,London
107,2025-05-02 01:32:30.336512,PKG36069,humidity,81.2,81.2,"0.1405, 11.0357",Cape Town,In Transit,Paris,Cape Town
