record_id,timestamp,device_id,data_type,data_value,numeric_value,location,closest_city,status,origin,destination
3,2025-04-29 12:08:30.336512,PKG85046,shock,0.2,0.2,"33.3012, 13.5857",Cairo,In Transit,São Paulo,Moscow
6,2025-04-29 13:17:30.336512,PKG59811,shock,0.2,0.2,"36.7251, 136.1661",Tokyo,In Transit,Tokyo,Seoul
9,2025-04-29 14:36:30.336512,PKG80313,shock,0.04,0.04,"24.1418, 107.766",Bangkok,In Transit,Cape Town,Seoul
12,2025-04-29 15:23:30.336512,PKG90642,shock,0.48,0.48,"3.6758, 36.9013",Cairo,In Transit,Tokyo,São Paulo
15,2025-04-29 16:06:30.336512,PKG86797,shock,0.37,0.37,"52.3556, 18.2952",Berlin,In Transit,Moscow,Berlin
18,2025-04-29 22:21:30.336512,PKG40354,shock,0.29,0.29,"3.1486, 101.0205",Singapore,Delivered,London,Singapore
21,2025-04-30 03:12:30.336512,PKG15600,shock,0.48,0.48,"40.8456, -76.0098",New York,In Transit,New York,Toronto
24,2025-04-30 04:16:30.336512,PKG98223,shock,0.19,0.19,"-20.3309, -50.6235",São Paulo,Delivered,Los Angeles,São Paulo
27,2025-04-30 04:39:30.336512,PKG68596,shock,0.44,0.44,"47.7554, 10.6766",Berlin,In Transit,Moscow,Mexico City
30,2025-04-30 06:25:30.336512,PKG47157,shock,0.16,0.16,"24.8098, -8.6001",Paris,In Transit,Berlin,São Paulo
33,2025-04-30 09:02:30.336512,PKG56828,shock,0.02,0.02,"32.7614, 67.4043",Dubai,In Transit,Tokyo,Cairo
36,2025-04-30 09:11:30.336512,PKG83969,shock,0.42,0.42,"-14.4913, 10.838",Cape Town,In Transit,São Paulo,Singapore
39,2025-04-30 10:38:30.336512,PKG52880,shock,0.2,0.2,"-27.9624, 33.7697",Cape Town,In Transit,Singapore,Cape Town
42,2025-04-30 10:59:30.336512,PKG89273,shock,0.47,0.47,"-23.7877, 17.4187",Cape Town,In Transit,Paris,Cape Town
45,2025-04-30 15:09:30.336512,PKG14324,shock,0.09,0.09,"41.4671, -84.5964",Chicago,Delivered,Cairo,Chicago
48,2025-04-30 17:04:30.336512,PKG36641,shock,1.98,1.98,"19.1864, 25.1461",Cairo,Delayed,New York,Singapore
51,2025-04-30 21:25:30.336512,PKG43719,shock,0.03,0.03,"17.473, 107.9593",Bangkok,In Transit,Paris,Manila
54,2025-04-30 22:13:30.336512,PKG16801,shock,0.11,0.11,"20.8077, -98.0358",Mexico City,Delivered,Chicago,Mexico City
57,2025-04-30 22:16:30.336512,PKG93441,shock,0.32,0.32,"24.0181, 68.1987",Mumbai,In Transit,Cairo,Manila
60,2025-04-30 22:31:30.336512,PKG80316,shock,0.29,0.29,"32.5732, 30.3712",Cairo,In Transit,Paris,Sydney
63,2025-04-30 23:22:30.336512,PKG24388,shock,0.29,0.29,"45.6035, -41.4799",New York,In Transit,London,Los Angeles
66,2025-05-01 03:36:30.336512,PKG68243,shock,0.02,0.02,"50.5945, 34.014",Moscow,In Transit,Berlin,Seoul
69,2025-05-01 04:15:30.336512,PKG52318,shock,0.13,0.13,"7.8415, -10.4925",Paris,In Transit,Los Angeles,Sydney
72,2025-05-01 07:34:30.336512,PKG14158,shock,0.01,0.01,"-8.7533, 10.3176",Cape Town,In Transit,São Paulo,Bangkok
75,2025-05-01 11:51:30.336512,PKG21130,shock,0.11,0.11,"43.9253, -69.2618",New York,Delayed,Chicago,Paris
78,2025-05-01 13:40:30.336512,PKG27771,shock,0.01,0.01,"31.3388, 10.2707",Paris,Processing,Cairo,Los Angeles
81,2025-05-01 14:22:30.336512,PKG15287,shock,0.17,0.17,"43.553, 16.28",Berlin,In Transit,Mumbai,Paris
84,2025-05-01 14:37:30.336512,PKG59407,shock,1.56,1.56,"-5.5992, 69.9657",Mumbai,Delayed,Tokyo,Cape Town
87,2025-05-01 15:37:30.336512,PKG82615,shock,0.16,0.16,"45.1069, -57.3475",New York,Delayed,Paris,Toronto
90,2025-05-01 15:54:30.336512,PKG77969,shock,0.07,0.07,"36.3495, -96.2642",Chicago,In Transit,Los Angeles,Paris
93,2025-05-01 16:05:30.336512,PKG29065,shock,0.44,0.44,"20.6898, 28.827",Cairo,Processing,Cairo,Cape Town
96,2025-05-01 16:51:30.336512,PKG77214,shock,0.4,0.4,"53.8675, 27.9716",Moscow,In Transit,London,Moscow
99,2025-05-01 18:40:30.336512,PKG51914,shock,0.18,0.18,"7.3423, -85.8441",Mexico City,In Transit,Los Angeles,São Paulo
